BOR;AN;FI;GRP;RS;FI_ET;RS_ET;FI_EJ
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007862;CATTP ENFANTS SAINTE-MADELEINE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007870;CMP ADULTES PERS AGEES BOURG-EN-BRESSE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007896;CMP ENFANTS FERNEY-VOLTAIRE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007904;HOPITAL DE JOUR - MONTLUEL;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007912;HOPITAL DE JOUR - TREVOUX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010007920;HOPITAL DE JOUR - AMBERIEU-EN-BUGEY;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010008050;CATTP ADULTES FERNEY-VOLTAIRE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010008092;CMP ENFANTS FEILLENS;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010008217;HOPITAL DE JOUR BOURG -LE BASTION-;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010008225;APPARTEMENT THERAPEUTIQUE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010008233;APPARTEMENT THERAPEUTIQUE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010008993;HJ ENFANTS BG EN BRESSE LA PASSERELLE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009124;AT OYONNAX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009934;CMP DE RÉHAB PSYCHIATRIE GÉNÉRALE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009942;CATTP UAE PSYCHIATRIE GÉNÉRALE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009959;CATTP ERASME PSYCHIATRIE GÉNÉRALE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009967;C.M.P. PSYCHIATRIE INFANTO-JUVÉNILE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009975;C.M.P. PRÉ-ADOS PSYCHIATRIE INFANTO-JU;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009983;C.A.T.T.P. ESCAL'ADO PSYCHIATRIE INFAN;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010009991;C.A.T.T.P. PSYCHIATRIE INFANTO-JUVÉNIL;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010010007;C.A.T.T.P. PSYCHIATRIE ADULTES;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010780740;POST-CURE HELIOS HAUTEVILLE-LOMPNES;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010786705;CMP ENFANTS MONTLUEL;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010786713;CMP ADULTES BELLEY;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010786721;CMP ENFANTS AMBERIEU-EN-BUGEY;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010786754;CMP ADULTES BELLEGARDE-SUR VALSERINE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010787869;CMP ENFANTS BELLEGARDE-SUR-VALSERINE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010787885;CMP ADULTES BOURG-EN-BRESSE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010787893;CMP ADULTES VIRIAT;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010787927;CMP ADULTES FERNEY-VOLTAIRE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010787968;CMP ENFANTS TREVOUX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010788248;CMP ENFANTS BELLEY;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010788347;CATTP ENFANTS VERSONNEX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010788677;CMP ADULTES OYONNAX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010788792;CMP ADULTES MONTREVEL-EN-BRESSE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789311;CATTP ADULTES L'ENTR'ACTES;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789451;CATTP ADULTES OYONNAX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789634;CATTP ADULTES CHATILLON-SUR-CHALARONNE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789642;CMP ADULTES CHATILLON-SUR-CHALARONNE;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789675;CMP ADULTES AMBERIEU-EN-BUGEY;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789691;CMP ADULTES MONTLUEL;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789709;CATTP ADULTES MONTLUEL;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789725;CMP ENFANTS OYONNAX;010783009
STB;2014;010000495;15;C.P.A. BOURG EN BRESSE;010789733;CATTP ENFANTS OYONNAX;010783009
STB;2014;010002129;09;CLINIQUE DE REEDUCATION LES ARBELLES;;;750056335
STB;2014;010005239;04;CH DU HAUT BUGEY SITE GEOVREISSET;;;010008407
STB;2014;010005379;09;HAD AMBERIEU EN BUGEY;;;690006598
STB;2014;010007300;09;CLINIQUE AMBULATOIRE CENDANEG;;;010007292
STB;2014;010009314;04;SSR HÔTEL DIEU;010780823;USLD HÔTEL DIEU;010780054
STB;2014;010009702;04;ESLD RÉSIDENCE ÉMILE PÉLICAND;;;010780054
STB;2014;010780195;09;CLINIQUE CONVERT - BOURG-EN-BRESSE;;;010000156
STB;2014;010780203;09;CLINIQUE MUTUALISTE AMBERIEU EN BUGEY;;;010006450
STB;2014;010780252;09;CRF L'ORCET - HAUTEVILLE;;;010783009
STB;2014;010780278;09;CTRE DE RÉÉDUCATION MANGINI;;;010783009
STB;2014;010780310;09;CTRE DE PNEUMOLOGIE CLAIR SOLEIL;;;010000222
STB;2014;010780328;09;CENTRE MEDICAL LE MODERN;;;010000222
STB;2014;010780476;09;ETABLISSEMENT DE SANTE POUR ADOLESCENTS DE CHANAY - GROUPE MGEN;;;750005068
STB;2014;010780492;09;CRF ROMANS-FERRARI - MIRIBEL;;;360000707
STB;2014;010780708;09;CLINIQUE SSR KORIAN GLETEINS;;;310021381
STB;2014;010780799;09;CRF CHATEAU D'ANGEVILLE - HAUTEVILLE;;;750721334
STB;2014;010786259;04;USLD CH NANTUA;;;010008407
STB;2014;010789717;04;USLD CH OYONNAX;;;010008407
STB;2014;020000089;04;CH GUISE;020009007;USLD CH GUISE;020000022
STB;2014;020000097;04;CH LA FÈRE;;;020000048
STB;2014;020000105;04;CH LE NOUVION-EN-THIÉRACHE;;;020000055
STB;2014;020000162;04;CENTRE HOSPITALIER DE SAINT-QUENTIN;020009874;USLD CH SAINT-QUENTIN;020000063
STB;2014;020000246;04;CH VERVINS;;;020000071
STB;2014;020000303;09;LA RENAISSANCE SANITAIRE;;;750814030
STB;2014;020000360;09;CLINIQUE SAINT CHRISTOPHE COURLANCY;;;020014742
STB;2014;020000386;15;S.A.S. CLINIQUE LA ROSERAIE;;;020000600
STB;2014;020000394;04;CENTRE HOSPITALIER DE LAON;;;020000253
STB;2014;020000519;04;CH SOISSONS;;;020000261
STB;2014;020000535;04;CH CHAUNY;020004727;USLD CH CHAUNY;020000287
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020000154;HJ EPSMD02 SAINT-QUENTIN;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020002051;FOYER THÉRAPEUTIQUE EPSM AISNE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020002739;LITS DE PROXIMITÉ EPSMD AISNE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020002788;CENTRE PSYCHOTHÉRAPIQUE  EPSMD AISNE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020003893;CATTP EPSMD BELLEU;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020003919;HÔPITAL DE JOUR ENFANTS EPSMD AISNE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020004529;HJ EPSMD02 GUISE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020004990;CENTRE POUR ADOLESCENTS EPSMD AISNE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020005088;HJ EPSMD02 LAON;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020006151;HJ EPSMD LA FÈRE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020007183;CENTRE BORROMEE EPSM AISNE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008793;HJ EPSMD02 TERGNIER;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008868;CMP EPSMD HIRSON ENFANT;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008876;CMP EPSMD SOISSONS ADULTE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008884;CMP EPSMD CHÂTEAU-THIERRY ENFANT;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008892;CMP EPSMD LAON ADULTE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008900;CMP EPSMD CHAUNY ENFANT;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008918;CMP EPSMD SAINT-QUENTIN LYON;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008934;CMP EPSMD GUISE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008942;CMP EPSMD BOHAIN-EN-VERMANDOIS;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008967;CMP EPSMD SOISSONS ENFANT;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008983;CMP EPSMD CHAUNY ADULTE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020009494;CENTRE EPSMD02 CHAUNY;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020012605;UNITE DE PROXIMITÉ CHARLES LASEGUE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020012845;HJ EPSMD02 CROUY;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020013264;CMP EPSMD LAON ENFANT;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014098;CENTRE PSYCHOTHÉRAPIQUE EPSMDA HIRSON;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014502;URCA EPSMD AISNE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014510;CMP EPSMD HIRSON ADULTE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014536;CMP EPSMD CHÂTEAU-THIERRY ADULTE;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014544;CMP EPSMD TERGNIER;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020015061;CATTP EPSMD CHÂTEAU-THIERRY;020000295
STB;2014;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020015319;CMP EPSMD SAINT-QUENTIN CORDIER;020000295
STB;2014;020000915;04;CRF JACQUES FICHEUX SAINT-GOBAIN;;;020003620
STB;2014;020001061;04;CENTRE HOSPITALIER JEANNE DE NAVARRE;020008819;USLD CH CHÂTEAU-THIERRY;020004404
STB;2014;020001087;04;CH HIRSON;;;020004495
STB;2014;020003877;04;CENTRE DE MOYEN SEJOUR CH LAON;;;020000253
STB;2014;020004156;15;CLINIQUE SAINTE MONIQUE;;;590805065
STB;2014;020004297;09;SERVICE HAD ASSOCIATION MEDICO-SOCIALE ANNE MORGAN;;;020005179
STB;2014;020004677;04;USLD CH SOISSONS;;;020000261
STB;2014;020005476;04;USLD CH LAON;;;020000253
STB;2014;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014627;CATTP CH SAINT-QUENTIN VOLTAIRE;020000063
STB;2014;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014635;CATTP CH SAINT-QUENTIN GUISE;020000063
STB;2014;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014643;CMP CH SAINT-QUENTIN;020000063
STB;2014;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014676;CMP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063
STB;2014;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020015079;CATTP CH SAINT-QUENTIN BISSON;020000063
STB;2014;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020015194;CATTP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063
STB;2014;020009684;04;USLD MS BOHAIN-EN-VERMANDOIS;;;020002085
STB;2014;020010047;09;HOPITAL PRIVE ST CLAUDE;;;020001632
STB;2014;020010310;09;ASSOCIATION AURORE;;;750719361
STB;2014;020010898;09;SERVICE D HOSPITALISATION A DOMICILE;;;750721334
STB;2014;020011698;09;SERVICE HOSPITALISATION A DOMICILE;;;020006318
STB;2014;020014767;09;SERVICE HOSPITALISATION A DOMICILE;;;590805065
STB;2014;030000012;04;CH DE NERIS LES BAINS;;;030180020
STB;2014;030000061;04;CENTRE HOSPITALIER MOULINS YZEURE;030780589;CENTRE HOSPITALIER SPECIALISE YZEURE;030780092
STB;2014;030000061;04;CENTRE HOSPITALIER MOULINS YZEURE;030785190;CENTRE DE SOINS DE LONGUE DUREE;030780092
STB;2014;030000079;04;CENTRE HOSPITALIER DE MONTLUCON;030781603;CENTRE DE SOINS LONGUE DUREE COURTAIS;030780100
STB;2014;030000087;04;CH JACQUES LACARIN VICHY;030783583;ULSD CH JACQUES LACARIN VICHY;030780118
STB;2014;030000087;04;CH JACQUES LACARIN VICHY;030785042;HOPITAL DE JOUR - VICHY-OUEST-;030780118
STB;2014;030000087;04;CH JACQUES LACARIN VICHY;030785869;HL DE JOUR ET CTRE POST CURE VICHY EST;030780118
STB;2014;030000087;04;CH JACQUES LACARIN VICHY;030785877;CTRE POST CURE MALADES MENTAUX;030780118
STB;2014;030000087;04;CH JACQUES LACARIN VICHY;030785885;HOPITAL DE JOUR -PSY INFANTJUV-;030780118
STB;2014;030000095;04;CH BOURBON L'ARCHAMBAULT;;;030780126
STB;2014;030000160;04;CENTRE HOSPITALIER SPECIALISE D'AINAY;030001234;CENTRE DE SOINS DE LONGUE DUREE;030780282
STB;2014;030002208;04;CH DPT COEUR DU BOURBONNAIS;;;030002158
STB;2014;030780548;09;POLYCLINIQUE LA PERGOLA;;;030000194
STB;2014;030781116;09;POLYCL. ST FRANCOIS-ST ANTOINE;;;030000426
STB;2014;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030783989;CTRE DE PEDOPSYCHIATRIE JEAN BILLAUD;030780100
STB;2014;030785430;09;POLYCLINIQUE SAINT-ODILON;;;030785422
STB;2014;040000028;04;HOPITAL DIEUDONNE COLLOMP BANON;;;040780124
STB;2014;040000036;04;CENTRE HOSPITALIER PIERRE GROUES DE BARCELONNETTE;;;040780132
STB;2014;040000044;04;ETABLISSEMENT PUBLIC DE SANTE;;;040780140
STB;2014;040000051;04;HOPITAL LOCAL GLANDEVES D'ENTREVAUX;;;040780173
STB;2014;040000069;04;HOPITAL LOCAL ST MICHEL DE FORCALQUIER;;;040780181
STB;2014;040000077;04;HOPITAL LOCAL SAINTE ANNE DE JAUSIERS;;;040780199
STB;2014;040000085;04;HOPITAL LOCAL LES MEES;;;040780207
STB;2014;040000093;04;CENTRE HOSPITALIER DE MANOSQUE;040788440;CH DE MANOSQUE USLD;040780215
STB;2014;040000119;04;HOPITAL LOCAL LUMIERE DE RIEZ;;;040780231
STB;2014;040000127;04;Etablissement Public de Santé Vallée de la Blanche;;;040780249
STB;2014;040000135;04;SITE DE SISTERON;;;050002948
STB;2014;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040787772;CENTRE DE REEDUCATION LA CLE;040788879
STB;2014;040780389;09;SA GEMAVI;;;040000150
STB;2014;040780405;09;CENTRE DES CARMES;040002248;USLD DU CENTRE DES CARMES;040000168
STB;2014;040780470;09;CLINIQUE TOUTES AURES;;;040000192
STB;2014;040780488;09;CRF DE HAUTE PROVENCE L'EAU VIVE;;;040000200
STB;2014;040780520;09;SOINS DE SUITE LE VERDON;;;920000395
STB;2014;040782021;09;UGECAM CENTRE MEDICAL LE COUSSON;;;130037815
STB;2014;050000041;09;CENTRE MEDICAL RHONE AZUR;;;130037815
STB;2014;050000058;09;CENTRE MEDICAL RIO VERT;;;050000033
STB;2014;050000066;09;CENTRE MEDICAL LA SOURCE;;;050000082
STB;2014;050000090;09;POLYCLINIQUE DES ALPES DU SUD;;;050006931
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050002369;CMP HELENE CHAIGNEAU;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050003748;LE CORTO MALTESE PSY INFANTO JUVENILE;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050005271;HJ LES ISLES PSY INFANTO JUVENILE;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050005701;BUECH USLD;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007202;CATTP HELENE CHAIGNEAU;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007210;CMP CATTP LE CLUB;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007228;CMP LE CLUB;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007236;CMP PETIT NICE;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007244;CATTP PETIT NICE;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007251;CMP VEYNES;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007269;CATTP VEYNES;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007277;CMP LE RELAIS;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007285;ATELIER THERAPEUTIQUE ESPACES VERTS;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007293;ATELIER THERAPEUTIQUE L'AUJOUR;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007301;CMP ADOS LADOUCETTE;050007145
STB;2014;050000132;04;CH BUECH DURANCE SIEGE;050007319;CATTP ADOS LADOUCETTE;050007145
STB;2014;050000223;04;CENTRE HOSPITALIER D'AIGUILLES;;;050000108
STB;2014;050000231;04;CH DES ESCARTONS DE BRIANCON;050005958;CH DE BRIANCON SLD;050000116
STB;2014;050000256;04;CENTRE HOSPITALIER D'EMBRUN;050006105;CH D'EMBRUN SLD;050000124
STB;2014;050000298;09;LA GUISANE;;;050000496
STB;2014;050000306;09;LES HIRONDELLES;;;050000538
STB;2014;050000330;04;CHABRE COURT SEJOUR SSR;;;050007145
STB;2014;050000348;04;SITE DE GAP;;;050002948
STB;2014;050000371;09;LES JEUNES POUSSES;;;050003508
STB;2014;050000454;15;LE FUTUR ANTERIEUR;;;050000645
STB;2014;050000488;09;CTRE DES MALADIES RESPIRATOIRES ET ALLERGIQUES LES ACACIAS;;;050000678
STB;2014;050000637;09;CENTRE MEDICAL MONTJOY;;;050001163
STB;2014;050000991;09;CENTRE MEDICAL CHANT'OURS;;;050000546
STB;2014;050001064;09;CENTRE MEDICAL LA DURANCE;;;050000561
STB;2014;050002351;09;CENTRE MEDICAL RHONE AZUR;;;130037815
STB;2014;050006436;04;MEDECINE GERIATRIQUE SITE GAP ADRET;050006071;CHI DES ALPES DU SUD SLD SITE ADRET;050002948
STB;2014;050007368;09;GCS HAD DES ALPES DU SUD;;;050007343
STB;2014;060000163;04;HOPITAL LOCAL ST MAUR ST ETIENNE TINEE;;;060780327
STB;2014;060000296;09;LA MAISON DU MINEUR;;;060780640
STB;2014;060000304;04;CENTRE HOSPITALIER DE BREIL SUR ROYA;;;060780657
STB;2014;060000411;04;HL DU PAYS DE LA ROUDOULE A PUGET;;;060780780
STB;2014;060000445;04;CTRE REEDUC CARDIO RESP VAL GORBIO;;;060780814
STB;2014;060000478;04;CENTRE HOSPITALIER DE GRASSE;060787801;CMP HOPITAL LE PETIT PARIS;060780897
STB;2014;060000486;04;HOPITAL LOCAL SAINT ELOI DE SOSPEL;;;060780905
STB;2014;060000494;04;HOPITAL LOCAL SAINT LAZARE DE TENDE;;;060780921
STB;2014;060000510;04;CH D'ANTIBES JUAN LES PINS;060019965;CMP CH ANTIBES;060780954
STB;2014;060000510;04;CH D'ANTIBES JUAN LES PINS;060020054;CMP VALLAURIS;060780954
STB;2014;060000510;04;CH D'ANTIBES JUAN LES PINS;060023702;USLD CH ANTIBES JUAN LES PINS;060780954
STB;2014;060000510;04;CH D'ANTIBES JUAN LES PINS;060787819;CMP DE VENCE;060780954
STB;2014;060000510;04;CH D'ANTIBES JUAN LES PINS;060788304;CMP CH ANTIBES;060780954
STB;2014;060000536;04;HOPITAUX DE LA VESUBIE;;;060006889
STB;2014;060000544;04;CH PIERRE NOUVEAU CANNES;060019957;CMP LE SHOAN;060780988
STB;2014;060000544;04;CH PIERRE NOUVEAU CANNES;060787777;CMP LES VIOLETTES;060780988
STB;2014;060000544;04;CH PIERRE NOUVEAU CANNES;060788320;CMP LA CITADELLE;060780988
STB;2014;060000544;04;CH PIERRE NOUVEAU CANNES;060788338;CMP LES 4 COINS;060780988
STB;2014;060000551;04;CENTRE DE LONG SEJOUR;;;060781010
STB;2014;060001450;04;HOPITAL SAINT ROCH DU CHU DE NICE;;;060785011
STB;2014;060002102;04;CH LA PALMOSA DE MENTON;;;060791761
STB;2014;060005469;09;Clinique L'Oliveraie des Cayrons;;;750043994
STB;2014;060006558;09;HAD A.TZANCK;;;060798865
STB;2014;060010188;09;CSR DOMUS VI WILSON;;;060000221
STB;2014;060015328;09;MECS LES AIRELLES;;;060015278
STB;2014;060019213;09;SLD TIERS TEMPS LE CANNET;;;060005188
STB;2014;060021201;09;CENTRE DE SOINS DE SUITE ATLANTIS;;;060000155
STB;2014;060021417;09;HOPITAL PRIVE CANNES OXFORD;;;060000221
STB;2014;060780145;09;CLINIQUE SAINT DOMINIQUE;;;060000049
STB;2014;060780186;09;LES LAURIERS ROSES ETABLISSEMENT SSR;;;060006939
STB;2014;060780277;09;Clinique Sainte Brigitte;;;750043994
STB;2014;060780343;09;SARL SSR SAINT JEAN;;;060000171
STB;2014;060780350;09;CLINIQUE LA PINEDE;;;920000395
STB;2014;060780392;09;CENTRE MONTSINERY;;;060000205
STB;2014;060780442;09;CLINIQUE SAINT FRANCOIS;;;060000213
STB;2014;060780459;09;CLINIQUE ORSAC MONT FLEURI;;;010783009
STB;2014;060780491;09;INSTITUT ARNAULT TZANCK;;;060790797
STB;2014;060780517;09;POLYCLINIQUE SAINT JEAN;;;060000239
STB;2014;060780525;15;CLINIQUE LE VAL D'ESTREILLES;;;060000247
STB;2014;060780541;15;CLINIQUE LA GRANGEA;;;060000262
STB;2014;060780558;09;CLINIQUE LES CADRANS SOLAIRES;;;750720575
STB;2014;060780590;09;CLINIQUE DU PALAIS;;;060000270
STB;2014;060780665;09;CLINIQUE LE MERIDIEN;;;060000312
STB;2014;060780699;09;CLINIQUE MOZART;;;060000346
STB;2014;060780715;09;CLINIQUE SAINT GEORGE;;;060000361
STB;2014;060780723;09;CLINIQUE DU PARC IMPERIAL;;;060004959
STB;2014;060780749;09;CLINIQUE SAINT LUC / ets SSR VILLA ROMAINE;;;060000395
STB;2014;060780756;09;POLYCLINIQUE SANTA MARIA;;;060000403
STB;2014;060780947;09;HOPITAUX PEDIATRIQUES NICE CHU LENVAL;;;060800174
STB;2014;060780996;15;CH SAINTE MARIE;060019643;C.M.P. DU CHS SAINTE MARIE;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060019650;CENTRE MEDICO PSYCHOLOGIQUE;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060020021;CMP HLM POINT DU JOUR;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060020047;C.M.P. LE REMBRANDT;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060020666;MAISON D'ARRET CHS SAINTE MARIE;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060787587;C.M.P. MENTON SAINT MICHEL;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060787686;C.M.P BEAUSOLEIL;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060787827;C.M.P. MICHEL ANGE;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060787835;C.M.P. STE AGATHE;630786754
STB;2014;060780996;15;CH SAINTE MARIE;060787876;CENTRE MEDICO PSYCHOLOGIQUE;630786754
